id,grade,quota,indispo
ens1,prof,4,2025-10-10 09:00;2025-10-12 14:00
ens2,assistant,2,
ens3,prof,4,2025-10-11 14:00:00
ens4,assistant,2,2025-10-13 09:00:00
ens5,prof,4,2025-10-10 14:00:00
ens6,assistant,2,2025-10-12 09:00:00
ens7,prof,4,
ens8,assistant,2,2025-10-14 14:00:00
ens9,prof,4,2025-10-11 09:00:00
ens10,assistant,2,2025-10-13 14:00:00
ens11,prof,4,
ens12,assistant,2,2025-10-10 09:00:00
ens13,prof,4,2025-10-14 09:00:00
ens14,assistant,2,
ens15,prof,4,2025-10-12 14:00:00
ens16,assistant,2,2025-10-11 14:00:00
ens17,prof,4,
ens18,assistant,2,2025-10-13 09:00:00
ens19,prof,4,2025-10-10 14:00:00
ens20,assistant,2,
